:489:Adams, Michael:Speelman, Jonathan S:0:
:490:Adams, Michael:Renet, Olivier:1:
:491:Piket, Jeroen:Adams, Michael:-1:
:492:Adams, Michael:Christiansen, Larry Mark:1:
:493:Renet, Olivier:Adams, Michael:-1:
:494:Adams, Michael:Piket, Jeroen:1:
:495:Christiansen, Larry Mark:Adams, Michael:0:
:496:Ulibin, Mikhail:Adams, Michael:1:
:497:Adams, Michael:Bologan, Viktor:0:
:498:Illescas Cordoba, Miguel:Adams, Michael:1:
:499:Adams, Michael:Khenkin, Igor:0:
:500:Kramnik, Vladimir:Adams, Michael:0:
:501:Adams, Michael:Stohl, Igor:1:
:502:Kotronias, Vasilios:Adams, Michael:-1:
:503:Sokolov, Ivan:Adams, Michael:0:
:504:Adams, Michael:Lautier, Joel:1:
:505:Psakhis, Lev:Adams, Michael:0:
:506:Adams, Michael:Akopian, Vladimir:0:
:507:Adams, Michael:Magem Badals, Jorge:1:
:508:Adams, Michael:Horvath, Jozsef:1:
:509:Adams, Michael:Cvitan, Ognjen:1:
:510:Adams, Michael:Van Wely, Loek:1:
:511:Adams, Michael:Dreev, Alexey:0:
:512:Adams, Michael:Beliavsky, Alexander G:0:
:513:Adams, Michael:Greenfeld, Alon:0:
:514:Minasian, Artashes:Adams, Michael:-1:
:515:Adams, Michael:Huebner, Robert:-1:
:516:Adams, Michael:Salov, Valery:1:
:517:Shirov, Alexei:Adams, Michael:0:
:518:Adams, Michael:Anand, Viswanathan:0:
:519:Kamsky, Gata:Adams, Michael:0:
:520:Adams, Michael:Piket, Jeroen:0:
:521:Ivanchuk, Vassily:Adams, Michael:1:
:522:Adams, Michael:Kasparov, Gary:-1:
:523:Bareev, Evgeny:Adams, Michael:0:
:524:Sokolov, Andrei:Adams, Michael:1:
:525:Salov, Valery:Adams, Michael:0:
:526:Kallai, Gabor:Adams, Michael:0:
:527:Adams, Michael:Polugaevsky, Lev:1:
:528:Adams, Michael:Miralles, Gilles:1:
:529:Adams, Michael:Moynihan, Kieran:0:
:530:Levitt, Jonathan:Adams, Michael:0:
:531:Lalic, Susan:Adams, Michael:-1:
:532:Kinsman, Andrew PH:Adams, Michael:-1:
:533:Gurevich, Ilya:Adams, Michael:0:
:534:Adams, Michael:Ward, Christopher:0:
:535:Adams, Michael:Thipsay, Praveen Mahadeo:1:
:536:Timoshchenko, Gennadi A:Adams, Michael:1:
:537:Adams, Michael:Howell, James C:0:
:538:Adams, Michael:Hon, Andrew:1:
